Type;Rent;Move in price;Address;Link
3 room apartment of 81 m²;13.300;54.200,-;Svanevej, 2400 København, København NV;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/81m2-3-room-id-5227927;
2 room apartment of 79 m²;14.500;58.771,-;Indiakaj, 2100 København, København Ø - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/79m2-2-room-id-4000569;
3 room apartment of 86 m²;14.500;73.450,-;Njalsgade, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/86m2-3-room-id-5227610;
3 room apartment of 75 m²;11.500;47.017,-;Vigerslevvej, 2500 København, Valby - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/75m2-3-room-id-5227602;
4 room apartment of 102 m²;14.000;57.105,-;Else Alfelts Vej, 2300 København, København S - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/102m2-4-room-id-4387286;
4 room apartment of 105 m²;13.400;54.718,-;Else Alfelts Vej, 2300 København, København S - 5th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/105m2-4-room-id-5227514;
4 room apartment of 122 m²;14.000;99.000,-;Store Mølle Vej, 2300 København, København S - 5th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/122m2-4-room-id-4562429;
2 room apartment of 54 m²;8.900;27.200,-;Landlystvej, 2500 København, Valby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/54m2-2-room-id-4464777;
2 room apartment of 85 m²;14.750;74.750,-;Alliancevej, 2450 København, København SV - 5th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/85m2-2-room-id-3516241;
2 room apartment of 66 m²;13.200;66.700,-;Amager Strandvej, 2300 København, København S - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/66m2-2-room-id-5227357;
2 room apartment of 73 m²;13.992;70.760,-;Amager Strandvej, 2300 København, København S - 5th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/73m2-2-room-id-5227352;
2 room apartment of 64 m²;12.500;88.084,-;Brammingegade, 2100 København, København Ø - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/64m2-2-room-id-5227322;
3 room apartment of 89 m²;13.500;54.700,-;Edvard Thomsens Vej, 2300 København, København S - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/89m2-3-room-id-4173947;
3 room apartment of 74 m²;10.500;42.699,-;Nordre Fasanvej, 2000 København, Frederiksberg;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/74m2-3-room-id-5227222;
4 room apartment of 114 m²;14.800;75.200,-;Ørestads Boulevard, 2300 København, København S - 11th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/114m2-4-room-id-5227208;
2 room apartment of 74 m²;12.400;50.401,-;Robert Jacobsens Vej, 2300 København, København S - 7th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/74m2-2-room-id-4639574;
3 room apartment of 81 m²;13.500;68.200,-;A.C. Meyers Vænge, 2450 København, København SV - 6th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/81m2-3-room-id-5227047;
3 room apartment of 89 m²;14.200;71.950,-;Njalsgade, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/89m2-3-room-id-5227039;
3 room apartment of 84 m²;13.650;69.125,-;Valby Maskinfabriksvej, 2500 København, Valby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/84m2-3-room-id-5227030;
4 room apartment of 105 m²;13.400;54.738,-;Else Alfelts Vej, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/105m2-4-room-id-5226990;
4 room apartment of 98 m²;13.900;56.800,-;Asger Jorns Allé, 2300 København, København S - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/98m2-4-room-id-5226915;
4 room apartment of 92 m²;13.700;55.899,-;Robert Jacobsens Vej, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/92m2-4-room-id-5226908;
4 room apartment of 108 m²;14.300;57.650,-;Else Alfelts Vej, 2300 København, København S - 4th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/108m2-4-room-id-5186519;
3 room apartment of 108 m²;13.700;65.650,-;Edvard Thomsens Vej, 2300 København, København S - 5th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/108m2-3-room-id-5225958;
4 room apartment of 98 m²;13.900;56.800,-;Asger Jorns Allé, 2300 København, København S - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/98m2-4-room-id-5226638;
3 room apartment of 112 m²;13.195;67.175,-;Ørestads Boulevard, 2300 København, København S - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/112m2-3-room-id-5185316;
2 room apartment of 64 m²;10.795;54.675,-;C.F. Møllers Allé, 2300 København, København S - 4th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/64m2-2-room-id-5192938;
3 room apartment of 92 m²;13.800;56.300,-;Robert Jacobsens Vej, 2300 København, København S - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/92m2-3-room-id-5226608;
