Type;Rent;Move in price;Address;Link
2 room apartment of 62 m²;13.800;70.072,-;Skovbrynet, 2800 Kongens Lyngby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/62m2-2-room-id-4946812;
2 room apartment of 62 m²;13.600;69.244,-;Skovbrynet, 2800 Kongens Lyngby - 1st floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/62m2-2-room-id-4946752;
2 room apartment of 62 m²;13.300;67.572,-;Skovbrynet, 2800 Kongens Lyngby - Ground floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/62m2-2-room-id-4945846;
2 room apartment of 73 m²;14.200;72.113,-;Skovbrynet, 2800 Kongens Lyngby - 3rd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/73m2-2-room-id-4889640;
2 room apartment of 72 m²;14.300;72.610,-;Skovbrynet, 2800 Kongens Lyngby - 3rd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/72m2-2-room-id-4889638;
2 room apartment of 73 m²;14.000;71.113,-;Skovbrynet, 2800 Kongens Lyngby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/73m2-2-room-id-4889629;
2 room apartment of 72 m²;14.000;71.110,-;Skovbrynet, 2800 Kongens Lyngby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/72m2-2-room-id-4889626;
2 room apartment of 73 m²;13.800;70.114,-;Skovbrynet, 2800 Kongens Lyngby - 1st floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/73m2-2-room-id-4889618;
2 room apartment of 72 m²;13.800;70.110,-;Skovbrynet, 2800 Kongens Lyngby - 1st floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/72m2-2-room-id-4889616;
2 room apartment of 72 m²;13.600;69.110,-;Skovbrynet, 2800 Kongens Lyngby - Ground floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/72m2-2-room-id-4889586;
2 room apartment of 72 m²;13.600;69.110,-;Skovbrynet, 2800 Kongens Lyngby - Ground floor;https://www.boligportal.dk/en/rental-apartments/kongens-lyngby/72m2-2-room-id-4889569;
3 room apartment of 86 m²;11.400;46.690,-;Vangedevej, 2870 Dyssegård - 4th floor;https://www.boligportal.dk/en/rental-apartments/dysseg%C3%A5rd/86m2-3-room-id-4393988;
2 room apartment of 76 m²;9.240;65.680,-;Stadionvej, 2600 Glostrup - Ground floor;https://www.boligportal.dk/en/rental-apartments/glostrup/76m2-2-room-id-5228574;
3 room apartment of 110 m²;13.500;68.400,-;Jernbanevej, 2600 Glostrup - 2nd floor;https://www.boligportal.dk/en/rental-apartments/glostrup/110m2-3-room-id-5228154;
3 room apartment of 76 m²;9.240;65.390,-;Stadionvej, 2600 Glostrup - Ground floor;https://www.boligportal.dk/en/rental-apartments/glostrup/76m2-3-room-id-5228079;
3 room apartment of 94 m²;12.400;63.050,-;Østbrovej, 2600 Glostrup - 1st floor;https://www.boligportal.dk/en/rental-apartments/glostrup/94m2-3-room-id-5222593;
3 room apartment of 90 m²;12.700;64.450,-;Østbrovej, 2600 Glostrup - 3rd floor;https://www.boligportal.dk/en/rental-apartments/glostrup/90m2-3-room-id-5199014;
3 room apartment of 91 m²;12.200;62.000,-;Østbrovej, 2600 Glostrup - 3rd floor;https://www.boligportal.dk/en/rental-apartments/glostrup/91m2-3-room-id-5190757;
3 room apartment of 90 m²;12.800;64.950,-;Østbrovej, 2600 Glostrup - 5th floor;https://www.boligportal.dk/en/rental-apartments/glostrup/90m2-3-room-id-5185542;
3 room apartment of 68 m²;11.500;69.800,-;Granskoven, 2600 Glostrup - 2nd floor;https://www.boligportal.dk/en/rental-apartments/glostrup/68m2-3-room-id-5224857;
3 room apartment of 76 m²;9.240;65.580,-;Stadionvej, 2600 Glostrup - 2nd floor;https://www.boligportal.dk/en/rental-apartments/glostrup/76m2-3-room-id-5218022;
2 room apartment of 50 m²;10.000;40.000,-;Stationsparken, 2600 Glostrup - 1st floor;https://www.boligportal.dk/en/rental-apartments/glostrup/50m2-2-room-id-5207518;
3 room apartment of 87 m²;11.995;61.575,-;Edithsvej, 2600 Glostrup;https://www.boligportal.dk/en/rental-apartments/glostrup/87m2-3-room-id-4802245;
3 room apartment of 91 m²;11.500;58.700,-;Bygården, 2700 Brønshøj - 1st floor;https://www.boligportal.dk/en/rental-apartments/br%C3%B8nsh%C3%B8j/91m2-3-room-id-5223040;
2 room apartment of 55 m²;10.000;35.000,-;Frederikssundsvej, 2700 Brønshøj - Ground floor;https://www.boligportal.dk/en/rental-apartments/br%C3%B8nsh%C3%B8j/55m2-2-room-id-4921607;
2 room apartment of 72 m²;11.500;46.550,-;Frederikssundsvej, 2700 Brønshøj - 3rd floor;https://www.boligportal.dk/en/rental-apartments/br%C3%B8nsh%C3%B8j/72m2-2-room-id-5226561;
4 room apartment of 96 m²;11.200;57.300,-;Islevhusvej, 2700 Brønshøj - Ground floor;https://www.boligportal.dk/en/rental-apartments/br%C3%B8nsh%C3%B8j/96m2-4-room-id-5226243;
2 room apartment of 50 m²;8.995;45.775,-;Hyrdevangen, 2700 Brønshøj - 1st floor;https://www.boligportal.dk/en/rental-apartments/br%C3%B8nsh%C3%B8j/50m2-2-room-id-5003677;
5 room house of 120 m²;5.500;17.100,-;Jyderupvej, 2700 Brønshøj;https://www.boligportal.dk/en/rental-houses/br%C3%B8nsh%C3%B8j/120m2-5-room-id-5222744;
2 room apartment of 65 m²;9.500;20.500,-;Islevhusvej, 2700 Brønshøj;https://www.boligportal.dk/en/rental-apartments/br%C3%B8nsh%C3%B8j/65m2-2-room-id-4752745;
3 room apartment of 81 m²;13.100;79.600,-;Præstegårds Allé, 2700 Brønshøj - 1st floor;https://www.boligportal.dk/en/rental-apartments/br%C3%B8nsh%C3%B8j/81m2-3-room-id-5218516;
3 room townhouse of 107 m²;13.500;68.500,-;Bygården, 2700 Brønshøj;https://www.boligportal.dk/en/rental-townhouse/br%C3%B8nsh%C3%B8j/107m2-3-room-id-5212582;
3 room apartment of 99 m²;13.845;70.425,-;Frederikssundsvej, 2700 Brønshøj - 2nd floor;https://www.boligportal.dk/en/rental-apartments/br%C3%B8nsh%C3%B8j/99m2-3-room-id-5202425;
3 room apartment of 99 m²;13.470;68.550,-;Frederikssundsvej, 2700 Brønshøj - 1st floor;https://www.boligportal.dk/en/rental-apartments/br%C3%B8nsh%C3%B8j/99m2-3-room-id-5202404;
3 room apartment of 107.5 m²;14.540;73.900,-;Frederikssundsvej, 2700 Brønshøj - 1st floor;https://www.boligportal.dk/en/rental-apartments/br%C3%B8nsh%C3%B8j/107m2-3-room-id-5202140;
2 room apartment of 71 m²;10.544;54.020,-;Frederikssundsvej, 2700 Brønshøj - 1st floor;https://www.boligportal.dk/en/rental-apartments/br%C3%B8nsh%C3%B8j/71m2-2-room-id-4769826;
3 room apartment of 66 m²;10.500;53.300,-;Hyrdevangen, 2700 Brønshøj - 3rd floor;https://www.boligportal.dk/en/rental-apartments/br%C3%B8nsh%C3%B8j/66m2-3-room-id-4807872;
3 room apartment of 89 m²;12.900;65.150,-;Gunnekær, 2610 Rødovre - 2nd floor;https://www.boligportal.dk/en/rental-apartments/r%C3%B8dovre/89m2-3-room-id-5193300;
5 room apartment of 127 m²;13.995;71.075,-;Møllevangen, 2610 Rødovre - Ground floor;https://www.boligportal.dk/en/rental-apartments/r%C3%B8dovre/127m2-5-room-id-5229517;
4 room apartment of 96 m²;13.500;68.300,-;Møllevangen, 2610 Rødovre - 3rd floor;https://www.boligportal.dk/en/rental-apartments/r%C3%B8dovre/96m2-4-room-id-5111714;
4 room apartment of 103 m²;13.300;67.500,-;Irmavej, 2610 Rødovre - 1st floor;https://www.boligportal.dk/en/rental-apartments/r%C3%B8dovre/103m2-4-room-id-5229338;
3 room apartment of 87 m²;12.800;64.825,-;Rødovre Port, 2610 Rødovre - 2nd floor;https://www.boligportal.dk/en/rental-apartments/r%C3%B8dovre/87m2-3-room-id-5228823;
3 room apartment of 86 m²;13.200;66.800,-;Rødovre Port, 2610 Rødovre - 4th floor;https://www.boligportal.dk/en/rental-apartments/r%C3%B8dovre/86m2-3-room-id-5191932;
3 room apartment of 86 m²;13.100;66.300,-;Rødovre Port, 2610 Rødovre - 4th floor;https://www.boligportal.dk/en/rental-apartments/r%C3%B8dovre/86m2-3-room-id-5191914;
4 room apartment of 103 m²;13.400;68.000,-;Irmavej, 2610 Rødovre - 2nd floor;https://www.boligportal.dk/en/rental-apartments/r%C3%B8dovre/103m2-4-room-id-4697125;
2 room apartment of 60 m²;11.500;58.200,-;Møllevangen, 2610 Rødovre - 2nd floor;https://www.boligportal.dk/en/rental-apartments/r%C3%B8dovre/60m2-2-room-id-4990389;
4 room apartment of 100 m²;13.500;68.400,-;Møllevangen, 2610 Rødovre - Ground floor;https://www.boligportal.dk/en/rental-apartments/r%C3%B8dovre/100m2-4-room-id-5220720;
3 room apartment of 105 m²;12.700;64.500,-;Irmavej, 2610 Rødovre - 3rd floor;https://www.boligportal.dk/en/rental-apartments/r%C3%B8dovre/105m2-3-room-id-5212210;
4 room apartment of 93 m²;13.800;69.950,-;Rødovre Port, 2610 Rødovre - 3rd floor;https://www.boligportal.dk/en/rental-apartments/r%C3%B8dovre/93m2-4-room-id-5191944;
3 room apartment of 78 m²;13.800;69.800,-;Rødovre Port, 2610 Rødovre - 5th floor;https://www.boligportal.dk/en/rental-apartments/r%C3%B8dovre/78m2-3-room-id-5191921;
4 room apartment of 93 m²;14.000;70.950,-;Rødovre Port, 2610 Rødovre - 4th floor;https://www.boligportal.dk/en/rental-apartments/r%C3%B8dovre/93m2-4-room-id-5191916;
4 room apartment of 94 m²;14.100;71.450,-;Rødovre Port, 2610 Rødovre - 4th floor;https://www.boligportal.dk/en/rental-apartments/r%C3%B8dovre/94m2-4-room-id-5191912;
4 room apartment of 87 m²;14.800;74.000,-;Ewaldsbakken, 2900 Hellerup - 1st floor;https://www.boligportal.dk/en/rental-apartments/hellerup/87m2-4-room-id-5226874;
2 room apartment of 73 m²;11.995;83.965,-;Strandvejen, 2900 Hellerup - 2nd floor;https://www.boligportal.dk/en/rental-apartments/hellerup/73m2-2-room-id-5219258;
2 room apartment of 57 m²;13.500;81.650,-;Strandvejen, 2900 Hellerup - 2nd floor;https://www.boligportal.dk/en/rental-apartments/hellerup/57m2-2-room-id-4737024;
3 room apartment of 75 m²;7.700;31.700,-;Ordrupvej, 2920 Charlottenlund;https://www.boligportal.dk/en/rental-apartments/charlottenlund/75m2-3-room-id-5228512;
4 room apartment of 107 m²;13.062;66.510,-;Henrik Hertz Vej, 2920 Charlottenlund - 2nd floor;https://www.boligportal.dk/en/rental-apartments/charlottenlund/107m2-4-room-id-4185728;
3 room apartment of 93 m²;12.700;89.900,-;Skovgårdsvej, 2920 Charlottenlund - 1st floor;https://www.boligportal.dk/en/rental-apartments/charlottenlund/93m2-3-room-id-4660390;
2 room apartment of 53 m²;9.000;36.600,-;Christianshvilevej, 2920 Charlottenlund - Ground floor;https://www.boligportal.dk/en/rental-apartments/charlottenlund/53m2-2-room-id-5221678;
2 room apartment of 60 m²;11.500;46.600,-;Ordrupvej, 2920 Charlottenlund - Ground floor;https://www.boligportal.dk/en/rental-apartments/charlottenlund/60m2-2-room-id-5186009;
2 room apartment of 78 m²;9.890;40.460,-;Lindehaven, 2630 Taastrup, Taastrup - 2nd floor;https://www.boligportal.dk/en/rental-apartments/taastrup/78m2-2-room-id-5012768;
4 room apartment of 122 m²;12.982;68.710,-;Taastrup Hovedgade, 2630 Taastrup - Ground floor;https://www.boligportal.dk/en/rental-apartments/taastrup/122m2-4-room-id-5227529;
5 room house of 131 m²;12.900;64.500,-;Pile Alle, 2630 Taastrup;https://www.boligportal.dk/en/rental-houses/taastrup/131m2-5-room-id-5123976;
4 room apartment of 96 m²;12.000;60.761,-;Lindevangshusene, 2630 Taastrup - 2nd floor;https://www.boligportal.dk/en/rental-apartments/taastrup/96m2-4-room-id-5186159;
3 room apartment of 100 m²;11.995;60.875,-;Lindehaven, 2630 Taastrup, Taastrup - 2nd floor;https://www.boligportal.dk/en/rental-apartments/taastrup/100m2-3-room-id-5024340;
3 room apartment of 81 m²;11.500;58.600,-;Høje Taastrup Boulev, 2630 Taastrup, Høje Taastrup - Ground floor;https://www.boligportal.dk/en/rental-apartments/taastrup/81m2-3-room-id-4990341;
4 room apartment of 119 m²;10.000;49.999,-;Skolevej, 2630 Taastrup;https://www.boligportal.dk/en/rental-apartments/taastrup/119m2-4-room-id-5216068;
3 room apartment of 70 m²;6.420;32.850,-;Taastrup Hovedgade, 2630 Taastrup - 2nd floor;https://www.boligportal.dk/en/rental-apartments/taastrup/70m2-3-room-id-773979;
2 room apartment of 76 m²;9.500;37.700,-;Skjeberg Alle, 2630 Taastrup, Høje Taastrup - Ground floor;https://www.boligportal.dk/en/rental-apartments/taastrup/76m2-2-room-id-5215022;
4 room townhouse of 111 m²;13.900;56.600,-;Skjeberg Allé, 2630 Taastrup, Høje Taastrup;https://www.boligportal.dk/en/rental-townhouse/taastrup/111m2-4-room-id-5196376;
3 room apartment of 100 m²;12.537;63.685,-;Lindehaven, 2630 Taastrup, Taastrup - 1st floor;https://www.boligportal.dk/en/rental-apartments/taastrup/100m2-3-room-id-4858853;
2 room apartment of 70 m²;9.350;47.950,-;Hammeren, 2630 Taastrup, Høje Taastrup - 3rd floor;https://www.boligportal.dk/en/rental-apartments/taastrup/70m2-2-room-id-5207831;
3 room apartment of 85 m²;10.800;67.850,-;Saksen D, 2630 Taastrup - Ground floor;https://www.boligportal.dk/en/rental-apartments/taastrup/85m2-3-room-id-3830418;
4 room apartment of 115 m²;14.595;73.925,-;Hyrdindestien, 2730 Herlev - 1st floor;https://www.boligportal.dk/en/rental-apartments/herlev/115m2-4-room-id-5143389;
3 room apartment of 77 m²;11.300;57.400,-;Mekanikvej, 2605 Brøndby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/br%C3%B8ndby/77m2-3-room-id-5212230;
3 room apartment of 76 m²;11.100;56.350,-;Mekanikvej, 2605 Brøndby - 1st floor;https://www.boligportal.dk/en/rental-apartments/br%C3%B8ndby/76m2-3-room-id-5193564;
3 room apartment of 77 m²;10.900;55.350,-;Mekanikvej, 2605 Brøndby - Ground floor;https://www.boligportal.dk/en/rental-apartments/br%C3%B8ndby/77m2-3-room-id-5208164;
3 room apartment of 73 m²;10.900;55.350,-;Mekanikvej, 2605 Brøndby - Ground floor;https://www.boligportal.dk/en/rental-apartments/br%C3%B8ndby/73m2-3-room-id-5212255;
3 room apartment of 89 m²;11.500;58.500,-;Mekanikvej, 2605 Brøndby - 1st floor;https://www.boligportal.dk/en/rental-apartments/br%C3%B8ndby/89m2-3-room-id-5208162;
3 room apartment of 77 m²;11.400;57.850,-;Mekanikvej, 2605 Brøndby - 3rd floor;https://www.boligportal.dk/en/rental-apartments/br%C3%B8ndby/77m2-3-room-id-5212231;
3 room apartment of 82 m²;11.500;58.450,-;Mekanikvej, 2605 Brøndby - 4th floor;https://www.boligportal.dk/en/rental-apartments/br%C3%B8ndby/82m2-3-room-id-5212256;
3 room apartment of 90 m²;11.900;60.500,-;Mekanikvej, 2605 Brøndby - 3rd floor;https://www.boligportal.dk/en/rental-apartments/br%C3%B8ndby/90m2-3-room-id-5189647;
3 room apartment of 96 m²;12.925;65.925,-;Vestre Gade, 2605 Brøndby;https://www.boligportal.dk/en/rental-apartments/br%C3%B8ndby/96m2-3-room-id-4453516;
5 room apartment of 95 m²;9.000;18.000,-;Konkylievej, 2650 Hvidovre - 1st floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/95m2-5-room-id-4169700;
4 room apartment of 104 m²;14.100;71.440,-;Åstrupgårdsvej, 2650 Hvidovre - 3rd floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/104m2-4-room-id-4555015;
2 room apartment of 55 m²;10.400;52.610,-;Strandmarksvej, 2650 Hvidovre - 1st floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/55m2-2-room-id-5218161;
3 room apartment of 90 m²;14.250;72.270,-;Strandmarksvej, 2650 Hvidovre - 1st floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/90m2-3-room-id-5218160;
2 room apartment of 55 m²;10.400;52.610,-;Strandmarksvej, 2650 Hvidovre - 1st floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/55m2-2-room-id-5218159;
3 room apartment of 90 m²;14.250;72.270,-;Strandmarksvej, 2650 Hvidovre - 4th floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/90m2-3-room-id-5218156;
2 room apartment of 55 m²;10.500;53.110,-;Strandmarksvej, 2650 Hvidovre - 1st floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/55m2-2-room-id-5218155;
2 room apartment of 55 m²;10.500;53.110,-;Strandmarksvej, 2650 Hvidovre - 3rd floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/55m2-2-room-id-5218151;
3 room apartment of 90 m²;13.750;69.770,-;Strandmarksvej, 2650 Hvidovre - 3rd floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/90m2-3-room-id-5218150;
3 room apartment of 90 m²;14.250;72.270,-;Strandmarksvej, 2650 Hvidovre - 1st floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/90m2-3-room-id-5218148;
2 room apartment of 55 m²;10.500;53.110,-;Strandmarksvej, 2650 Hvidovre - 3rd floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/55m2-2-room-id-5218147;
2 room apartment of 55 m²;10.500;53.110,-;Strandmarksvej, 2650 Hvidovre - 3rd floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/55m2-2-room-id-5218145;
2 room apartment of 55 m²;10.500;53.110,-;Strandmarksvej, 2650 Hvidovre - 2nd floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/55m2-2-room-id-5218144;
3 room apartment of 91 m²;13.750;69.770,-;Strandmarksvej, 2650 Hvidovre - 2nd floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/91m2-3-room-id-5218143;
2 room apartment of 55 m²;10.500;53.110,-;Strandmarksvej, 2650 Hvidovre - 2nd floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/55m2-2-room-id-5218141;
2 room apartment of 55 m²;10.400;52.610,-;Strandmarksvej, 2650 Hvidovre - 1st floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/55m2-2-room-id-5218140;
3 room apartment of 90 m²;13.750;69.770,-;Strandmarksvej, 2650 Hvidovre - 2nd floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/90m2-3-room-id-5218139;
2 room apartment of 55 m²;10.500;53.110,-;Strandmarksvej, 2650 Hvidovre - 2nd floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/55m2-2-room-id-5218137;
2 room apartment of 55 m²;10.500;53.110,-;Strandmarksvej, 2650 Hvidovre - 2nd floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/55m2-2-room-id-5218135;
3 room apartment of 96 m²;14.750;74.770,-;Strandmarksvej, 2650 Hvidovre - 2nd floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/96m2-3-room-id-5218134;
3 room apartment of 90 m²;14.250;72.270,-;Strandmarksvej, 2650 Hvidovre - 1st floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/90m2-3-room-id-5218132;
3 room apartment of 85 m²;14.750;74.770,-;Strandmarksvej, 2650 Hvidovre - 4th floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/85m2-3-room-id-5218130;
3 room apartment of 98 m²;14.750;74.850,-;Strandmarksvej, 2650 Hvidovre - 3rd floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/98m2-3-room-id-5218125;
3 room apartment of 91 m²;14.250;72.270,-;Strandmarksvej, 2650 Hvidovre - 2nd floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/91m2-3-room-id-5218121;
3 room apartment of 98 m²;14.750;74.850,-;Strandmarksvej, 2650 Hvidovre - 2nd floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/98m2-3-room-id-5218118;
2 room apartment of 61 m²;8.985;36.887,-;Rebæk Søpark, 2650 Hvidovre - 9th floor;https://www.boligportal.dk/en/rental-apartments/hvidovre/61m2-2-room-id-5204899;
4 room apartment of 105 m²;11.000;45.100,-;Vejlebrovej, 2635 Ishøj - 1st floor;https://www.boligportal.dk/en/rental-apartments/ish%C3%B8j/105m2-4-room-id-5223103;
2 room apartment of 60 m²;10.000;30.000,-;Vejlegårdsparken, 2665 Vallensbæk Strand - 2nd floor;https://www.boligportal.dk/en/rental-apartments/vallensb%C3%A6k-strand/60m2-2-room-id-5229805;
2 room apartment of 68 m²;9.520;48.300,-;Rosenfeldtvej, 2665 Vallensbæk Strand - 2nd floor;https://www.boligportal.dk/en/rental-apartments/vallensb%C3%A6k-strand/68m2-2-room-id-5228179;
3 room apartment of 102 m²;11.220;57.200,-;Rosenfeldtvej, 2665 Vallensbæk Strand - 2nd floor;https://www.boligportal.dk/en/rental-apartments/vallensb%C3%A6k-strand/102m2-3-room-id-5226656;
3 room apartment of 89 m²;10.000;52.300,-;Gammelgårds Alle, 2665 Vallensbæk Strand - Ground floor;https://www.boligportal.dk/en/rental-apartments/vallensb%C3%A6k-strand/89m2-3-room-id-5225837;
3 room apartment of 104 m²;12.736;64.808,-;Amalieparken, 2665 Vallensbæk Strand - 1st floor;https://www.boligportal.dk/en/rental-apartments/vallensb%C3%A6k-strand/104m2-3-room-id-3546578;
3 room apartment of 88 m²;12.000;68.000,-;Vejlegårdsparken, 2665 Vallensbæk Strand - Ground floor;https://www.boligportal.dk/en/rental-apartments/vallensb%C3%A6k-strand/88m2-3-room-id-5053281;
4 room apartment of 117 m²;12.700;64.500,-;Amalieparken, 2665 Vallensbæk Strand - Ground floor;https://www.boligportal.dk/en/rental-apartments/vallensb%C3%A6k-strand/117m2-4-room-id-4930910;
2 room apartment of 65 m²;6.995;50.065,-;Vallensbæk Strandvej, 2665 Vallensbæk Strand;https://www.boligportal.dk/en/rental-apartments/vallensb%C3%A6k-strand/65m2-2-room-id-4981544;
3 room apartment of 85 m²;12.400;63.275,-;Vallensbæk Stationstorv, 2665 Vallensbæk Strand - 2nd floor;https://www.boligportal.dk/en/rental-apartments/vallensb%C3%A6k-strand/85m2-3-room-id-5068467;
3 room apartment of 90 m²;10.250;72.350,-;Linde Alle, 2620 Albertslund - Ground floor;https://www.boligportal.dk/en/rental-apartments/albertslund/90m2-3-room-id-5219927;
3 room apartment of 80 m²;9.500;67.500,-;Roskildevej, 2620 Albertslund - 1st floor;https://www.boligportal.dk/en/rental-apartments/albertslund/80m2-3-room-id-5224859;
3 room apartment of 92 m²;11.995;59.975,-;Randager, 2620 Albertslund;https://www.boligportal.dk/en/rental-apartments/albertslund/92m2-3-room-id-5224404;
2 room apartment of 70 m²;10.150;51.400,-;Lækrogen, 2620 Albertslund - 4th floor;https://www.boligportal.dk/en/rental-apartments/albertslund/70m2-2-room-id-5217850;
4 room apartment of 92 m²;12.880;65.350,-;Lækrogen, 2620 Albertslund - 4th floor;https://www.boligportal.dk/en/rental-apartments/albertslund/92m2-4-room-id-5217848;
2 room apartment of 70 m²;9.800;49.650,-;Lækrogen, 2620 Albertslund - 3rd floor;https://www.boligportal.dk/en/rental-apartments/albertslund/70m2-2-room-id-5217846;
4 room apartment of 92 m²;12.420;63.050,-;Lækrogen, 2620 Albertslund - 3rd floor;https://www.boligportal.dk/en/rental-apartments/albertslund/92m2-4-room-id-5217844;
3 room apartment of 87 m²;11.310;57.350,-;Lækrogen, 2620 Albertslund - 2nd floor;https://www.boligportal.dk/en/rental-apartments/albertslund/87m2-3-room-id-5217843;
2 room apartment of 70 m²;9.800;49.650,-;Lækrogen, 2620 Albertslund - 2nd floor;https://www.boligportal.dk/en/rental-apartments/albertslund/70m2-2-room-id-5217836;
4 room apartment of 92 m²;12.420;63.050,-;Lækrogen, 2620 Albertslund - 2nd floor;https://www.boligportal.dk/en/rental-apartments/albertslund/92m2-4-room-id-5217831;
2 room apartment of 70 m²;9.800;49.650,-;Lækrogen, 2620 Albertslund - 1st floor;https://www.boligportal.dk/en/rental-apartments/albertslund/70m2-2-room-id-5217828;
4 room apartment of 92 m²;12.420;63.050,-;Lækrogen, 2620 Albertslund - 1st floor;https://www.boligportal.dk/en/rental-apartments/albertslund/92m2-4-room-id-5217822;
2 room apartment of 70 m²;9.800;49.650,-;Lækrogen, 2620 Albertslund;https://www.boligportal.dk/en/rental-apartments/albertslund/70m2-2-room-id-5217818;
4 room apartment of 92 m²;12.420;63.050,-;Lækrogen, 2620 Albertslund - Ground floor;https://www.boligportal.dk/en/rental-apartments/albertslund/92m2-4-room-id-5217816;
3 room apartment of 83 m²;11.205;56.825,-;Lækrogen, 2620 Albertslund - 4th floor;https://www.boligportal.dk/en/rental-apartments/albertslund/83m2-3-room-id-5217813;
2 room apartment of 70 m²;10.150;51.400,-;Lækrogen, 2620 Albertslund - 4th floor;https://www.boligportal.dk/en/rental-apartments/albertslund/70m2-2-room-id-5217812;
2 room apartment of 70 m²;10.150;51.400,-;Lækrogen, 2620 Albertslund - 4th floor;https://www.boligportal.dk/en/rental-apartments/albertslund/70m2-2-room-id-5217807;
3 room apartment of 85 m²;11.475;58.175,-;Lækrogen, 2620 Albertslund - 4th floor;https://www.boligportal.dk/en/rental-apartments/albertslund/85m2-3-room-id-5217806;
4 room apartment of 92 m²;12.880;65.350,-;Lækrogen, 2620 Albertslund - 4th floor;https://www.boligportal.dk/en/rental-apartments/albertslund/92m2-4-room-id-5217799;
2 room apartment of 70 m²;9.975;50.525,-;Lækrogen, 2620 Albertslund - 3rd floor;https://www.boligportal.dk/en/rental-apartments/albertslund/70m2-2-room-id-5217796;
3 room apartment of 85 m²;11.050;56.050,-;Lækrogen, 2620 Albertslund - 3rd floor;https://www.boligportal.dk/en/rental-apartments/albertslund/85m2-3-room-id-5217794;
4 room apartment of 92 m²;12.420;63.050,-;Lækrogen, 2620 Albertslund - 3rd floor;https://www.boligportal.dk/en/rental-apartments/albertslund/92m2-4-room-id-5217793;
2 room apartment of 70 m²;9.975;50.525,-;Lækrogen, 2620 Albertslund - 2nd floor;https://www.boligportal.dk/en/rental-apartments/albertslund/70m2-2-room-id-5217791;
2 room apartment of 70 m²;9.800;49.650,-;Lækrogen, 2620 Albertslund - 2nd floor;https://www.boligportal.dk/en/rental-apartments/albertslund/70m2-2-room-id-5217788;
3 room apartment of 85 m²;11.050;56.050,-;Lækrogen, 2620 Albertslund - 2nd floor;https://www.boligportal.dk/en/rental-apartments/albertslund/85m2-3-room-id-5217786;
2 room apartment of 70 m²;9.975;50.525,-;Lækrogen, 2620 Albertslund - 1st floor;https://www.boligportal.dk/en/rental-apartments/albertslund/70m2-2-room-id-5217783;
2 room apartment of 70 m²;9.800;49.650,-;Lækrogen, 2620 Albertslund - 1st floor;https://www.boligportal.dk/en/rental-apartments/albertslund/70m2-2-room-id-5217782;
3 room apartment of 85 m²;11.050;56.050,-;Lækrogen, 2620 Albertslund - 1st floor;https://www.boligportal.dk/en/rental-apartments/albertslund/85m2-3-room-id-5217780;
4 room apartment of 92 m²;12.420;63.050,-;Lækrogen, 2620 Albertslund - 1st floor;https://www.boligportal.dk/en/rental-apartments/albertslund/92m2-4-room-id-5217778;
2 room apartment of 70 m²;9.800;49.650,-;Lækrogen, 2620 Albertslund;https://www.boligportal.dk/en/rental-apartments/albertslund/70m2-2-room-id-5217775;
3 room apartment of 85 m²;11.050;56.050,-;Lækrogen, 2620 Albertslund - Ground floor;https://www.boligportal.dk/en/rental-apartments/albertslund/85m2-3-room-id-5217773;
