Type;Rent;Move in price;Address;Link
1 værelses lejlighed på 32 m²;6.675;33.875;Theklavej, 2400 København, København NV - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/32m2-1-vaer-id-5194887
1 værelses lejlighed på 32 m²;6.675;33.875;Theklavej, 2400 København, København NV - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/32m2-1-vaer-id-5194890
1 værelses lejlighed på 32.3 m²;6.675;33.875;Theklavej, 2400 København, København Nv - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/32m2-1-vaer-id-4506323
1 værelses lejlighed på 35 m²;6.750;34.250;H.C. Ørsteds Vej, 1879 København, Frederiksberg C - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/35m2-1-vaer-id-5195785
1 værelses lejlighed på 32.9 m²;6.798;34.490;Theklavej, 2400 København, København Nv - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/32m2-1-vaer-id-4397566
2 værelses lejlighed på 55 m²;8.500;34.500;Fiolstræde, 1171 København, København K - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/55m2-2-vaer-id-5197199
1 værelses lejlighed på 35 m²;6.900;34.900;Poppelstykket, 2450 København, København Sv - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/35m2-1-vaer-id-5111738
1 værelses lejlighed på 35 m²;6.900;34.900;Poppelstykket, 2450 København, København SV;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/35m2-1-vaer-id-5191540
2 værelses lejlighed på 48 m²;7.000;35.000;Berggreensgade, 2100 København, København Ø;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/48m2-2-vaer-id-5055278
2 værelses lejlighed på 59 m²;8.500;35.000;Romsdalsgade, 2300 København, København S - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/59m2-2-vaer-id-5158929
2 værelses lejlighed på 49 m²;6.702;35.110;Amagerbrogade, 2300 København, København S - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/49m2-2-vaer-id-5196724
2 værelses lejlighed på 49 m²;6.702;35.110;Amagerbrogade, 2300 København, København S - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/49m2-2-vaer-id-5196724
2 værelses lejlighed på 49 m²;6.702;35.110;Amagerbrogade, 2300 København, København S - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/49m2-2-vaer-id-5196724
1 værelses lejlighed på 32 m²;6.950;35.200;Gl. Køge Landevej, 2500 København, Valby - 5. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/32m2-1-vaer-id-5191138
2 værelses lejlighed på 50 m²;8.800;35.200;Vejlands Allé, 2300 København, København S - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/50m2-2-vaer-id-4343699
1 værelses lejlighed på 34 m²;6.963;35.313;Theklavej, 2400 København, København Nv - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/34m2-1-vaer-id-4283348
1 værelses lejlighed på 40 m²;7.000;35.400;Poppelstykket, 2450 København, København SV;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/40m2-1-vaer-id-5191538
1 værelses lejlighed på 31 m²;8.800;35.500;Store Kongensgade, 1264 København, København K - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/31m2-1-vaer-id-5201102
2 værelses lejlighed på 56 m²;8.800;35.800;Folehaven, 2500 København, Valby - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/56m2-2-vaer-id-2735397
2 værelses lejlighed på 68 m²;9.000;36.000;Brydes Allé, 2300 København, København S - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/68m2-2-vaer-id-5193588
1 værelses lejlighed på 25 m²;8.850;36.150;Holger Danskes Vej, 2000 København, Frederiksberg - 4. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/25m2-1-vaer-id-4650482
1 værelses lejlighed på 51 m²;8.900;36.300;Vedbækgade, 2200 København, København N - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/51m2-1-vaer-id-5165997
1 værelses lejlighed på 51 m²;8.900;36.400;Vedbækgade, 2200 København, København N - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/51m2-1-vaer-id-5023447
1 værelses lejlighed på 51 m²;8.900;36.400;Vedbækgade, 2200 København, København N - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/51m2-1-vaer-id-5023448
1 værelses lejlighed på 51 m²;8.900;36.400;Vedbækgade, 2200 København, København N - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/51m2-1-vaer-id-4761025
2 værelses lejlighed på 56 m²;7.233;36.815;Ringertoften, 2400 København, København NV - 4. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/56m2-2-vaer-id-5201758
1 værelses lejlighed på 41 m²;7.300;36.950;Smallegade, 2000 København, Frederiksberg - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/41m2-1-vaer-id-5202181
1 værelses lejlighed på 28 m²;7.400;37.300;Jorisvej, 2300 København, København S - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186731
1 værelses lejlighed på 28 m²;7.400;37.300;Jorisvej, 2300 København, København S - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186735
1 værelses lejlighed på 28 m²;7.400;37.300;Jorisvej, 2300 København, København S - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186736
1 værelses lejlighed på 28 m²;7.400;37.300;Jorisvej, 2300 København, København S - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186738
1 værelses lejlighed på 28 m²;7.400;37.300;Jorisvej, 2300 København, København S - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186742
1 værelses lejlighed på 28 m²;7.400;37.300;Jorisvej, 2300 København, København S - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186744
1 værelses lejlighed på 28 m²;7.400;37.300;Jorisvej, 2300 København, København S - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186712
1 værelses lejlighed på 28 m²;7.500;37.800;Jorisvej, 2300 København, København S - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186721
1 værelses lejlighed på 28 m²;7.500;37.800;Jorisvej, 2300 København, København S - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186703
1 værelses lejlighed på 28 m²;7.500;37.800;Jorisvej, 2300 København, København S - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186706
1 værelses lejlighed på 28 m²;7.500;37.800;Jorisvej, 2300 København, København S - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186709
1 værelses lejlighed på 28 m²;7.500;37.800;Jorisvej, 2300 København, København S - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186690
1 værelses lejlighed på 28 m²;7.500;37.800;Jorisvej, 2300 København, København S - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186688
1 værelses lejlighed på 28 m²;7.500;37.800;Jorisvej, 2300 København, København S - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186702
1 værelses lejlighed på 28 m²;7.500;37.800;Jorisvej, 2300 København, København S - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186724
1 værelses lejlighed på 28 m²;7.500;37.800;Jorisvej, 2300 København, København S - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186719
1 værelses lejlighed på 28 m²;7.500;37.800;Jorisvej, 2300 København, København S - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186707
1 værelses lejlighed på 28 m²;7.500;37.800;Jorisvej, 2300 København, København S - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/28m2-1-vaer-id-5186718
